title_count,title,dept_name
79,Senior Staff,Customer Service
23,Staff,Customer Service
12,Senior Engineer,Customer Service
3,Engineer,Customer Service
3,Technique Leader,Customer Service
244,Senior Engineer,Development
99,Engineer,Development
31,Technique Leader,Development
11,Assistant Engineer,Development
9,Senior Staff,Development
2,Staff,Development
52,Senior Staff,Finance
12,Staff,Finance
78,Senior Staff,Human Resources
19,Staff,Human Resources
96,Senior Staff,Marketing
21,Staff,Marketing
207,Senior Engineer,Production
59,Engineer,Production
32,Technique Leader,Production
17,Assistant Engineer,Production
6,Senior Staff,Production
1,Staff,Production
53,Senior Engineer,Quality Management
23,Engineer,Quality Management
9,Technique Leader,Quality Management
1,Assistant Engineer,Quality Management
62,Senior Staff,Research
20,Staff,Research
13,Senior Engineer,Research
6,Engineer,Research
2,Technique Leader,Research
187,Senior Staff,Sales
57,Staff,Sales
